t,x,y,yaw,u,v,r
0,0,0,0,0,0,0
0.10000000000000001,0.0096750000000000013,0,0,0.19032499999999999,0,0
0.20000000000000001,0.0374618028125,0,0,0.36253819718750002,0,0
0.30000000000000004,0.081636844002355463,0,0,0.5183631559976446,0,0
0.40000000000000002,0.14064057783498132,0,0,0.65935942216501875,0,0
0.5,0.21306186884675993,0,0,0.78693813115324018,0,0
0.60000000000000009,0.29762386875263014,0,0,0.90237613124736993,0,0
0.70000000000000007,0.39317123734245801,0,0,1.0068287626575421,0,0
0.80000000000000004,0.49865857946885639,0,0,1.1013414205311438,0,0
0.90000000000000002,0.61313998240015133,0,0,1.1868600175998489,0,0
1,0.73575954882499695,0,0,1.2642404511750034,0,0
1.1000000000000001,0.86574283075993819,0,0,1.3342571692400622,0,0
1.2000000000000002,1.0023890786277456,0,0,1.3976109213722547,0,0
1.3,1.1450642279328327,0,0,1.4549357720671676,0,0
1.4000000000000001,1.2931945533421745,0,0,1.5068054466578258,0,0
1.5,1.4462609266597499,0,0,1.5537390733402505,0,0
1.6000000000000001,1.6037936212264916,0,0,1.596206378773509,0,0
1.7000000000000002,1.7653676107465257,0,0,1.6346323892534749,0,0
1.8,1.9305983154888595,0,0,1.669401684511141,0,0
1.9000000000000001,2.099137753291151,0,0,1.7008622467088497,0,0
2,2.2706710568435819,0,0,1.7293289431564187,0,0
2.1000000000000001,2.4449133223967046,0,0,1.7550866776032961,0,0
2.2000000000000002,2.6216067583541283,0,0,1.7783932416458723,0,0
2.3000000000000003,2.8005181052122534,0,0,1.7994818947877469,0,0
2.4000000000000004,2.9814363010249925,0,0,1.818563698975008,0,0
2.5,3.1641703690287017,0,0,1.8358296309712989,0,0
2.6000000000000001,3.3485475062860082,0,0,1.8514524937139927,0,0
2.7000000000000002,3.534411354219066,0,0,1.8655886457809348,0,0
2.8000000000000003,3.7216204337231944,0,0,1.8783795662768066,0,0
2.9000000000000004,3.9100467291990109,0,0,1.8899532708009901,0,0
3,4.0995744073316098,0,0,1.9004255926683908,0,0
3.1000000000000001,4.2900986577939157,0,0,1.9099013422060851,0,0
3.2000000000000002,4.4815246442716026,0,0,1.9184753557283984,0,0
3.3000000000000003,4.6737665553111061,0,0,1.9262334446888947,0,0
3.4000000000000004,4.8667467454913131,0,0,1.9332532545086878,0,0
3.5,5.0603949583234957,0,0,1.9396050416765047,0,0
3.6000000000000001,5.254647623102036,0,0,1.9453523768979644,0,0
3.7000000000000002,5.4494472186685883,0,0,1.9505527813314119,0,0
3.8000000000000003,5.644741697722039,0,0,1.9552583022779613,0,0
3.9000000000000004,5.8404839659125658,0,0,1.9595160340874347,0,0
4,6.0366314105064109,0,0,1.9633685894935893,0,0
4.1000000000000005,6.233145473904095,0,0,1.9668545260959056,0,0
4.2000000000000002,6.4299912677436968,0,0,1.970008732256304,0,0
4.2999999999999998,6.6271372237270372,0,0,1.9728627762729636,0,0
4.4000000000000004,6.8245547776741127,0,0,1.9754452223258876,0,0
4.5,7.0222180836436996,0,0,1.9777819163563004,0,0
4.6000000000000005,7.2201037552589558,0,0,1.979896244741044,0,0
4.7000000000000002,7.4181906316491251,0,0,1.9818093683508744,0,0
4.8000000000000007,7.6164595656648153,0,0,1.9835404343351843,0,0
4.9000000000000004,7.8148932322472371,0,0,1.9851067677527623,0,0
5,8.0134759550335097,0,0,1.98652404496649,0,0
5.1000000000000005,8.2121935494626328,0,0,1.9878064505373665,0,0
5.2000000000000002,8.411033180811895,0,0,1.9889668191881043,0,0
5.3000000000000007,8.6099832357428827,0,0,1.9900167642571163,0,0
5.4000000000000004,8.8090332060715006,0,0,1.9909667939284985,0,0
5.5,9.0081735835987207,0,0,1.9918264164012778,0,0
5.6000000000000005,9.2073957649495064,0,0,1.9926042350504911,0,0
5.7000000000000002,9.4066919654674983,0,0,1.9933080345324987,0,0
5.8000000000000007,9.6060551413036972,0,0,1.9939448586962998,0,0
5.9000000000000004,9.8054789189193841,0,0,1.9945210810806131,0,0
6,10.004957531297718,0,0,1.9950424687022792,0,0
6.1000000000000005,10.204485760225598,0,0,1.9955142397743986,0,0
6.2000000000000002,10.40405888406813,0,0,1.9959411159318674,0,0
6.3000000000000007,10.603672630512996,0,0,1.9963273694870012,0,0
6.4000000000000004,10.803323133811803,0,0,1.9966768661881944,0,0
6.5,11.003006896090437,0,0,1.9969931039095603,0,0
6.6000000000000005,11.20272075234123,0,0,1.9972792476587669,0,0
6.7000000000000002,11.402461838746557,0,0,1.9975381612534395,0,0
6.8000000000000007,11.602227564016838,0,0,1.997772435983159,0,0
6.9000000000000004,11.802015583456086,0,0,1.9979844165439116,0,0
7,12.001823775495446,0,0,1.9981762245045516,0,0
7.1000000000000005,12.201650220459859,0,0,1.9983497795401373,0,0
7.2000000000000002,12.401493181355347,0,0,1.9985068186446489,0,0
7.3000000000000007,12.601351086484618,0,0,1.9986489135153775,0,0
7.4000000000000004,12.801222513717025,0,0,1.9987774862829704,0,0
7.5,13.001106176255428,0,0,1.9988938237445673,0,0
7.6000000000000005,13.201000909757521,0,0,1.9989990902424748,0,0
7.7000000000000002,13.400905660682721,0,0,1.9990943393172753,0,0
7.8000000000000007,13.600819475748001,0,0,1.9991805242519951,0,0
7.9000000000000004,13.800741492387131,0,0,1.9992585076128646,0,0
8,14.00067093011784,0,0,1.9993290698821553,0,0
8.0999999999999996,14.200607082730501,0,0,1.9993929172694946,0,0
8.2000000000000011,14.400549311220159,0,0,1.9994506887798364,0,0
8.3000000000000007,14.60049703739117,0,0,1.9995029626088252,0,0
8.4000000000000004,14.800449738070432,0,0,1.9995502619295629,0,0
8.5,15.000406939871304,0,0,1.9995930601286909,0,0
8.5999999999999996,15.2003682144558,0,0,1.9996317855441943,0,0
8.7000000000000011,15.400333174247649,0,0,1.9996668257523449,0,0
8.8000000000000007,15.600301468553306,0,0,1.9996985314466873,0,0
8.9000000000000004,15.800272780052103,0,0,1.9997272199478919,0,0
9,16.000246821620394,0,0,1.9997531783796008,0,0
9.0999999999999996,16.200223333457942,0,0,1.999776666542052,0,0
9.2000000000000011,16.400202080487748,0,0,1.9997979195122439,0,0
9.3000000000000007,16.600182850003332,0,0,1.9998171499966599,0,0
9.4000000000000004,16.80016544953989,0,0,1.9998345504601027,0,0
9.5,17.000149704948051,0,0,1.9998502950519432,0,0
9.6000000000000014,17.20013545865093,0,0,1.9998645413490628,0,0
9.7000000000000011,17.400122568067061,0,0,1.9998774319329327,0,0
9.8000000000000007,17.600110904183378,0,0,1.9998890958166149,0,0
9.9000000000000004,17.800100350264028,0,0,1.9998996497359662,0,0
10,18.000090800682027,0,0,1.9999091993179674,0,0
10.100000000000001,18.200082159862124,0,0,1.9999178401378714,0,0
10.200000000000001,18.400074341324245,0,0,1.9999256586757512,0,0
10.300000000000001,18.600067266817977,0,0,1.99993273318202,0,0
10.4,18.800060865539411,0,0,1.9999391344605861,0,0
10.5,19.000055073422516,0,0,1.9999449265774807,0,0
10.600000000000001,19.200049832497946,0,0,1.9999501675020512,0,0
10.700000000000001,19.400045090312862,0,0,1.9999549096871372,0,0
10.800000000000001,19.600040799405964,0,0,1.999959200594035,0,0
10.9,19.800036916832493,0,0,1.999963083167505,0,0
11,20.00003340373442,0,0,1.9999665962655773,0,0
11.100000000000001,20.200030224951544,0,0,1.9999697750484542,0,0
11.200000000000001,20.400027348669592,0,0,1.9999726513304057,0,0
11.300000000000001,20.600024746101823,0,0,1.9999752538981759,0,0
11.4,20.800022391200908,0,0,1.9999776087990908,0,0
11.5,21.000020260398252,0,0,1.9999797396017474,0,0
11.600000000000001,21.200018332368103,0,0,1.999981667631896,0,0
11.700000000000001,21.400016587814122,0,0,1.9999834121858757,0,0
11.800000000000001,21.600015009276259,0,0,1.9999849907237373,0,0
11.9,21.800013580956005,0,0,1.9999864190439895,0,0
12,22.000012288558278,0,0,1.9999877114417159,0,0
12.100000000000001,22.20001111914835,0,0,1.9999888808516437,0,0
