t,x,y,yaw,u,v,r
0,0,0,3.1415926535897931,1,0,0
0.10000000000000001,-0.099999742180135354,-0.00080886806816715814,3.1422438196052584,1,0.015511186907436858,0.012987893389212198
0.20000000000000001,-0.19999594904121359,-0.0032292241309035473,3.1441832022320844,1,0.029637111557157932,0.025764872717769914
0.30000000000000004,-0.29997995813706491,-0.0072507855026107682,3.1473898681041925,1,0.042388666123847361,0.038334058655146837
0.40000000000000002,-0.399938140951834,-0.012862469807861186,3.1518431842688965,1,0.053781901001861109,0.050698342586517016
0.5,-0.49985256736099809,-0.020052833802701564,3.1575227963683568,1,0.063837361482547206,0.062860408554271927
0.60000000000000009,-0.59970163605751114,-0.028810428708616959,3.1644086089403647,1,0.072579425877429632,0.074822753722765478
0.70000000000000007,-0.69946066612992852,-0.039124080240109105,3.1724807676964355,1,0.080035657730187282,0.086587707477042378
0.80000000000000004,-0.79910244679078257,-0.050983101696906688,3.1817196436455863,1,0.086236182390605889,0.098157449253057472
0.90000000000000002,-0.89859774382002811,-0.064377448467587875,3.1921058189413372,1,0.091213095910188127,0.10953402518537826
1,-0.99791576260634718,-0.079297822091306522,3.2036200743375596,1,0.094999912044073251,0.12071936364836973
1.1000000000000001,-1.097024568744897,-0.095735731686199504,3.216243378145959,1,0.097631051165360361,0.13171528975820784
1.2000000000000002,-1.1958914679978521,-0.11368352011252192,3.2299568765943212,1,0.099141373151866788,0.14252353889559646
1.3,-1.2944833480635123,-0.1331343617278794,3.2447418854903165,1,0.099565754808889434,0.15314576930263321
1.4000000000000001,-1.3927669850539686,-0.15408223803937862,3.2605798831007169,1,0.098938711146370942,0.16358357380176095
1.5,-1.4907093178752739,-0.17652189698705481,3.2774525041604314,1,0.097294058824866761,0.17383849068004387
1.6000000000000001,-1.5882776938630199,-0.20044880102422419,3.2953415349298849,1,0.094664619303235553,0.18391201377802563
1.7000000000000002,-1.6854400890747414,-0.22585906860901511,3.3142289092230226,1,0.09108195863787652,0.19380560181907408
1.8,-1.7821653066017151,-0.25274941319912431,3.3340967053316599,1,0.086576160471392327,0.20352068701231738
1.9000000000000001,-1.8784231561575522,-0.28111708335743668,3.3549271437750994,1,0.081175628479444553,0.21305868295995811
2,-1.9741846180482985,-0.31095980713542931,3.3767025858069069,1,0.07490691439032178,0.22242099189785502
