t,x,y,yaw,u,v,r
0,0,0,0,1,0,0
0.10000000000000001,0.099999742180135354,0.00080886806816713851,0.00065116601546531079,1,0.015511186907436858,0.012987893389212198
0.20000000000000001,0.19999594904121359,0.0032292241309034857,0.0025905486422913957,1,0.029637111557157932,0.025764872717769914
0.30000000000000004,0.29997995813706491,0.007250785502610723,0.0057972145143997313,1,0.042388666123847361,0.038334058655146837
0.40000000000000002,0.399938140951834,0.012862469807861127,0.010250530679103854,1,0.053781901001861109,0.050698342586517016
0.5,0.49985256736099809,0.020052833802701515,0.015930142778564103,1,0.063837361482547206,0.062860408554271927
0.60000000000000009,0.59970163605751114,0.028810428708616956,0.022815955350571945,1,0.072579425877429632,0.074822753722765478
0.70000000000000007,0.69946066612992852,0.039124080240109146,0.030888114106642765,1,0.080035657730187282,0.086587707477042378
0.80000000000000004,0.79910244679078257,0.050983101696906771,0.040126990055793649,1,0.086236182390605889,0.098157449253057472
0.90000000000000002,0.89859774382002811,0.064377448467588014,0.050513165351544292,1,0.091213095910188127,0.10953402518537826
1,0.99791576260634718,0.079297822091306647,0.062027420747766689,1,0.094999912044073251,0.12071936364836973
1.1000000000000001,1.097024568744897,0.095735731686199643,0.074650724556166226,1,0.097631051165360361,0.13171528975820784
1.2000000000000002,1.1958914679978521,0.11368352011252204,0.08836422300452848,1,0.099141373151866788,0.14252353889559646
1.3,1.2944833480635123,0.13313436172787954,0.10314923190052384,1,0.099565754808889434,0.15314576930263321
1.4000000000000001,1.3927669850539686,0.15408223803937879,0.11898722951092429,1,0.098938711146370942,0.16358357380176095
1.5,1.4907093178752739,0.17652189698705503,0.13585985057063865,1,0.097294058824866761,0.17383849068004387
1.6000000000000001,1.5882776938630199,0.20044880102422444,0.15374888134009224,1,0.094664619303235553,0.18391201377802563
1.7000000000000002,1.6854400890747414,0.22585906860901536,0.17263625563322987,1,0.09108195863787652,0.19380560181907408
1.8,1.7821653066017149,0.25274941319912458,0.19250405174186722,1,0.086576160471392327,0.20352068701231738
1.9000000000000001,1.878423156157552,0.28111708335743701,0.21333449018530673,1,0.081175628479444553,0.21305868295995811
2,1.9741846180482983,0.3109598071354297,0.23510993221711435,1,0.07490691439032178,0.22242099189785502
2.1000000000000001,2.0694219944449475,0.34227574350792617,0.2578128790237631,1,0.066184655792050198,0.23030820449610614
2.2000000000000002,2.1643330501881746,0.37426778492859158,0.28075998018653608,1,0.043552901742414371,0.2269656735905228
2.3000000000000003,2.2592838521608312,0.40578281611036565,0.30296362078488431,1,0.012507159872041231,0.21616091723129005
2.4000000000000004,2.3545580281837868,0.43617831412537911,0.32386224912182987,1,-0.022300308726350897,0.20133148925769417
2.5,2.4503563110469115,0.4651523789486568,0.34318250645714399,1,-0.057437527214516337,0.18504037821930003
2.6000000000000001,2.5467829075102859,0.49267932056579228,0.36088008558094592,1,-0.09068658969415741,0.16895918579323371
2.7000000000000002,2.6438927731272295,0.51882564628354577,0.3769837822690561,1,-0.12188773061050055,0.15316118797264863
2.8000000000000003,2.7417212994035287,0.54366025389022499,0.39152146634937735,1,-0.15100340822684633,0.13763751758309761
2.9000000000000004,2.8402863909691178,0.56725208881023947,0.40452015748745196,1,-0.17801464050504842,0.12238002792876204
3,2.939584083226082,0.58968321298041715,0.41601934856769207,1,-0.20236487810653775,0.10784116701736023
3.1000000000000001,3.0395537450281074,0.61113062752047875,0.42614518793872597,1,-0.22303016214239013,0.094943077300323031
3.2000000000000002,3.1401061066484846,0.63180477359716714,0.4350583774666662,1,-0.24034318180332878,0.083558641030236858
3.3000000000000003,3.2411532125393108,0.65188958275903941,0.4429016937088518,1,-0.25468368883283732,0.073518822678237006
3.4000000000000004,3.342610884045877,0.67154487288541065,0.44980182885515452,1,-0.26640277984340688,0.064670880995139263
3.5,3.4444003623422104,0.69090865640460075,0.4558709850828298,1,-0.27582136516912059,0.056877608515611487
3.6000000000000001,3.5464492521174624,0.71009943934837982,0.46120837861741643,1,-0.28323006028615166,0.050016313369488009
3.7000000000000002,3.6486919547436876,0.72921842525767699,0.46590163476045277,1,-0.28889005179737554,0.043977674959052547
3.8000000000000003,3.7510697393160641,0.74835157378468364,0.47002806592983326,1,-0.2930345979188172,0.038664560400155833
3.9000000000000004,3.8535305658436765,0.76757148835415423,0.47365583180213033,1,-0.29587091027810308,0.03399085763186091
4,3.9560287469076552,0.78693912362017082,0.47684498509911594,1,-0.29758223252238913,0.029880359707212267
4.1000000000000005,4.0585245117339932,0.80650531404344294,0.47964840923229435,1,-0.29832998461427612,0.026265720140292225
4.2000000000000002,4.1609835190862841,0.82631213145250215,0.48211265547875037,1,-0.29825588248607804,0.023087489295837909
4.2999999999999998,4.2633763518633732,0.84639408319912823,0.48427868800874219,1,-0.29748397337248184,0.020293235247465395
4.4000000000000004,4.3656780160302926,0.86677916437795954,0.48618254519981285,1,-0.29612254977070879,0.017836748292124241
