t,x,y,yaw,u,v,r
0.0,0,0,0,0,0,0
0.1,0.009675000000000001,0.0,0.0,0.190325,0.0,0.0
0.2,0.0374618028125,0.0,0.0,0.3625381971875,0.0,0.0
0.30000000000000004,0.08163684400235546,0.0,0.0,0.5183631559976446,0.0,0.0
0.4,0.14064057783498132,0.0,0.0,0.6593594221650187,0.0,0.0
0.5,0.21306186884675993,0.0,0.0,0.7869381311532402,0.0,0.0
0.6000000000000001,0.29762386875263014,0.0,0.0,0.9023761312473699,0.0,0.0
0.7000000000000001,0.393171237342458,0.0,0.0,1.006828762657542,0.0,0.0
0.8,0.4986585794688564,0.0,0.0,1.1013414205311438,0.0,0.0
0.9,0.6131399824001513,0.0,0.0,1.186860017599849,0.0,0.0
1.0,0.735759548824997,0.0,0.0,1.2642404511750034,0.0,0.0
1.1,0.8657428307599382,0.0,0.0,1.3342571692400622,0.0,0.0
1.2000000000000002,1.0023890786277456,0.0,0.0,1.3976109213722547,0.0,0.0
1.3,1.1450642279328327,0.0,0.0,1.4549357720671676,0.0,0.0
1.4000000000000001,1.2931945533421745,0.0,0.0,1.5068054466578258,0.0,0.0
1.5,1.44626092665975,0.0,0.0,1.5537390733402505,0.0,0.0
1.6,1.6037936212264916,0.0,0.0,1.596206378773509,0.0,0.0
1.7000000000000002,1.7653676107465257,0.0,0.0,1.6346323892534749,0.0,0.0
1.8,1.9305983154888595,0.0,0.0,1.669401684511141,0.0,0.0
1.9000000000000001,2.099137753291151,0.0,0.0,1.7008622467088497,0.0,0.0
2.0,2.270671056843582,0.0,0.0,1.7293289431564187,0.0,0.0
2.1,2.4449133223967046,0.0,0.0,1.755086677603296,0.0,0.0
2.2,2.6216067583541283,0.0,0.0,1.7783932416458723,0.0,0.0
2.3000000000000003,2.8005181052122534,0.0,0.0,1.799481894787747,0.0,0.0
2.4000000000000004,2.9814363010249925,0.0,0.0,1.818563698975008,0.0,0.0
2.5,3.1641703690287017,0.0,0.0,1.835829630971299,0.0,0.0
2.6,3.348547506286008,0.0,0.0,1.8514524937139927,0.0,0.0
2.7,3.534411354219066,0.0,0.0,1.8655886457809348,0.0,0.0
2.8000000000000003,3.7216204337231944,0.0,0.0,1.8783795662768066,0.0,0.0
2.9000000000000004,3.910046729199011,0.0,0.0,1.88995327080099,0.0,0.0
3.0,4.09957440733161,0.0,0.0,1.9004255926683908,0.0,0.0
3.1,4.290098657793916,0.0,0.0,1.909901342206085,0.0,0.0
3.2,4.481524644271603,0.0,0.0,1.9184753557283984,0.0,0.0
3.3000000000000003,4.673766555311106,0.0,0.0,1.9262334446888947,0.0,0.0
3.4000000000000004,4.866746745491313,0.0,0.0,1.9332532545086878,0.0,0.0
3.5,5.060394958323496,0.0,0.0,1.9396050416765047,0.0,0.0
3.6,5.254647623102036,0.0,0.0,1.9453523768979644,0.0,0.0
3.7,5.449447218668588,0.0,0.0,1.9505527813314119,0.0,0.0
3.8000000000000003,5.644741697722039,0.0,0.0,1.9552583022779613,0.0,0.0
3.9000000000000004,5.840483965912566,0.0,0.0,1.9595160340874347,0.0,0.0
4.0,6.036631410506411,0.0,0.0,1.9633685894935893,0.0,0.0
